Time (s),RPM
0 , 480
1 , 0
3 , 0
4 , 0
5 , 0
6 , 0
7 , 377
8 , 180
9 , 180
10 , 174
11 , 180
12 , 330
13 , 210
14 , 87
15 , 240
16 , 261
17 , 210
18 , 150
19 , 203
20 , 120
21 , 174
22 , 0
23 , 0
24 , 0
25 , 0
26 , 0
27 , 0
28 , 30
29 , 0
30 , 0
31 , 0
32 , 0
33 , 0
34 , 0
35 , 0
36 , 0
37 , 0
38 , 0
39 , 29
40 , 240
41 , 0
42 , 0
43 , 0
44 , 90
45 , 0
46 , 0
47 , 0
48 , 551
49 , 930
50 , 1450
51 , 1350
52 , 1131
53 , 810
54 , 1131
55 , 1740
56 , 1770
57 , 957
58 , 1200
59 , 551
60 , 660
61 , 928
62 , 660
63 , 667
64 , 600
65 , 690
66 , 630
67 , 660
68 , 754
69 , 840
70 , 725
71 , 570
72 , 667
73 , 660
74 , 1290
75 , 1421
76 , 780
77 , 435
78 , 990
79 , 1914
80 , 720
81 , 570
82 , 510
83 , 420
84 , 493
85 , 600
86 , 406
87 , 270
88 , 667
89 , 1380
90 , 1131
91 , 1680
92 , 990
93 , 667
94 , 780
95 , 1110
96 , 660
97 , 464
98 , 540
99 , 145
100 , 420
101 , 0
102 , 29
103 , 0
104 , 0
105 , 0
106 , 0
107 , 0
108 , 0
109 , 0
110 , 0
111 , 0
112 , 0
113 , 0
114 , 0
115 , 0
116 , 0
117 , 0
118 , 0
119 , 0
120 , 0
121 , 0
122 , 0
123 , 0
124 , 0
125 , 0
126 , 0
127 , 0
128 , 0
129 , 30
130 , 0
131 , 0
132 , 0
133 , 0
134 , 0
135 , 0
136 , 0
137 , 0
138 , 0
139 , 0
140 , 0
141 , 0
142 , 0
143 , 0
144 , 0
145 , 0
146 , 0
147 , 0
148 , 0
149 , 0
150 , 0
151 , 0
152 , 0
153 , 0
154 , 0
